Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.017,0.15,0,0.0,0.15,0,0,0.8894,1.0,-,,
2,sat,1,1,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.54,0.69,0,0.0,0.69,1,1,0.8894,1.0,-,"[ 0.000e+00  1.000e+01  2.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  9.000e+00  6.000e+00  1.701e+03 -3.000e+00
  5.000e+01  4.100e+01  7.000e+00  1.000e+00]","[ 1.000e+00  1.000e+01  2.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  9.000e+00  6.000e+00  1.701e+03 -3.000e+00
  5.000e+01  4.100e+01  7.000e+00  1.000e+00]"
3,sat,2,1,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.088,0.27,0,0.0,0.27,1,1,0.8894,1.0,-,"[ 1.000e+00  1.000e+01  2.000e+00  1.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  8.000e+00  0.000e+00  1.501e+03 -3.000e+00
  5.000e+01  2.090e+02  7.000e+00  2.000e+00]","[ 0.000e+00  1.000e+01  2.000e+00  1.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  8.000e+00  0.000e+00  1.501e+03 -3.000e+00
  5.000e+01  2.090e+02  7.000e+00  2.000e+00]"
4,unsat,2,2,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
5,unsat,2,3,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.017,0.13,0,0.0,0.13,0,0,0.8894,1.0,-,,
6,unsat,2,4,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
7,unsat,2,5,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.013,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
8,unsat,2,6,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
9,unsat,2,7,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
10,sat,3,7,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.066,0.2,0,0.0,0.2,1,1,0.8894,1.0,-,"[0.000e+00 0.000e+00 0.000e+00 6.000e+00 0.000e+00 1.000e+00 1.000e+00
 1.000e+00 1.100e+01 6.000e+00 1.295e+03 0.000e+00 5.000e+01 3.370e+02
 6.000e+00 2.000e+00]","[1.000e+00 0.000e+00 0.000e+00 6.000e+00 0.000e+00 1.000e+00 1.000e+00
 1.000e+00 1.100e+01 6.000e+00 1.295e+03 0.000e+00 5.000e+01 3.370e+02
 6.000e+00 2.000e+00]"
11,unsat,3,8,0,0,0,0.8421,0.0,0.8421,0,0.8421,0.009,0.1,0,0.0,0.1,0,0,0.8894,1.0,-,,
12,sat,4,8,0,0,0,0.6316,0.0,0.6316,0,0.6316,2.039,2.2,0,0.0,2.2,1,1,0.8894,1.0,-,"[  0.  10.   2.   0.   1.   0.   0.   0.  11.   1. 400.   0.   9. 198.
   4.   0.]","[  1.  10.   2.   0.   1.   0.   0.   0.  11.   1. 400.   0.   9. 198.
   4.   0.]"
13,sat,5,8,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.712,0.85,0,0.0,0.85,1,1,0.8894,1.0,-,"[  1.  10.   2.   4.   0.   0.   0.   1.   0.   0. 762.   0.  24. 185.
   2.   2.]","[  0.  10.   2.   4.   0.   0.   0.   1.   0.   0. 762.   0.  24. 185.
   2.   2.]"
14,unsat,5,9,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.011,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
15,unsat,5,10,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
16,unsat,5,11,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.011,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
17,unsat,5,12,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.016,0.13,0,0.0,0.13,0,0,0.8894,1.0,-,,
18,unsat,5,13,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
19,unsat,5,14,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.011,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
20,sat,6,14,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.482,0.6,0,0.0,0.6,1,1,0.8894,1.0,-,"[  1.  10.   0.   6.   0.   1.   0.   1.   6.   5. 698.   1.  36. 604.
   0.   2.]","[  0.  10.   0.   6.   0.   1.   0.   1.   6.   5. 698.   1.  36. 604.
   0.   2.]"
21,unsat,6,15,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.1,0,0.0,0.1,0,0,0.8894,1.0,-,,
22,sat,7,15,0,0,0,0.5789,0.0,0.5789,0,0.5789,47.482,47.64,0,0.0,47.64,1,1,0.8894,1.0,-,"[  0.   0.   0.   0.   1.   1.   0.   0.  11.   1. 502.   1.  14.   4.
   7.   0.]","[  1.   0.   0.   0.   1.   1.   0.   0.  11.   1. 502.   1.  14.   4.
   7.   0.]"
23,unsat,7,16,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.016,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
24,unsat,7,17,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.015,0.13,0,0.0,0.13,0,0,0.8894,1.0,-,,
25,sat,8,17,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.269,0.45,0,0.0,0.45,1,1,0.8894,1.0,-,"[ 0.000e+00  1.000e+01  2.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  9.000e+00  5.000e+00  1.201e+03 -3.000e+00
  5.000e+01  6.040e+02  7.000e+00  2.000e+00]","[ 1.000e+00  1.000e+01  2.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  9.000e+00  5.000e+00  1.201e+03 -3.000e+00
  5.000e+01  6.040e+02  7.000e+00  2.000e+00]"
26,unsat,8,18,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.015,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
27,unsat,8,19,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
28,unsat,8,20,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.17,0,0.0,0.17,0,0,0.8894,1.0,-,,
29,unsat,8,21,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
30,unsat,8,22,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
31,sat,9,22,0,0,0,0.6316,0.0,0.6316,0,0.6316,2.147,2.29,0,0.0,2.29,1,1,0.8894,1.0,-,"[  0.   4.   1.   6.   0.   0.   0.   0.   8.   0. 873.  -2.  25.  26.
   6.   1.]","[  1.   4.   1.   6.   0.   0.   0.   0.   8.   0. 873.  -2.  25.  26.
   6.   1.]"
32,unsat,9,23,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
33,sat,10,23,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.052,0.15,0,0.0,0.15,1,1,0.8894,1.0,-,"[ 0.000e+00  1.000e+01  2.000e+00  0.000e+00  1.000e+00  0.000e+00
  1.000e+00  1.000e+00  9.000e+00  6.000e+00  1.099e+03 -3.000e+00
  3.300e+01  1.130e+02  2.000e+00  0.000e+00]","[ 1.000e+00  1.000e+01  2.000e+00  0.000e+00  1.000e+00  0.000e+00
  1.000e+00  1.000e+00  9.000e+00  6.000e+00  1.099e+03 -3.000e+00
  3.300e+01  1.130e+02  2.000e+00  0.000e+00]"
34,unsat,10,24,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
35,unsat,10,25,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.013,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
36,unsat,10,26,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.013,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
37,sat,11,26,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.659,0.77,0,0.0,0.77,1,1,0.8894,1.0,-,"[  1.   9.   1.   6.   0.   0.   1.   1.   6.   6. 304.  -3.   6. 301.
   4.   2.]","[  0.   9.   1.   6.   0.   0.   1.   1.   6.   6. 304.  -3.   6. 301.
   4.   2.]"
38,unsat,11,27,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.13,0,0.0,0.13,0,0,0.8894,1.0,-,,
39,unsat,11,28,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.013,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
40,unsat,11,29,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.013,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
41,unsat,11,30,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
42,sat,12,30,0,0,0,0.5789,0.0,0.5789,0,0.5789,7.287,7.42,0,0.0,7.42,1,1,0.8894,1.0,-,"[  1.  10.   2.   6.   0.   1.   0.   1.   0.   5. 189.   0.   5. 300.
   2.   0.]","[  0.  10.   2.   6.   0.   1.   0.   1.   0.   5. 189.   0.   5. 300.
   2.   0.]"
43,sat,13,30,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.075,0.21,0,0.0,0.21,1,1,0.8894,1.0,-,"[0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00
 1.000e+00 1.100e+01 0.000e+00 1.501e+03 1.000e+00 5.000e+01 8.990e+02
 7.000e+00 0.000e+00]","[1.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00
 1.000e+00 1.100e+01 0.000e+00 1.501e+03 1.000e+00 5.000e+01 8.990e+02
 7.000e+00 0.000e+00]"
44,sat,14,30,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.391,0.53,0,0.0,0.53,1,1,0.8894,1.0,-,"[  0.  10.   2.   6.   1.   1.   1.   1.  10.   6. 901.  -1.  50. 904.
   3.   2.]","[  1.  10.   2.   6.   1.   1.   1.   1.  10.   6. 901.  -1.  50. 904.
   3.   2.]"
45,sat,15,30,0,0,0,0.6842,0.0526,0.7368,0,0.7368,0.425,0.55,0,0.0,0.55,1,1,0.8894,1.0,-,"[  0.  10.   2.   2.   1.   1.   0.   1.  11.   6. 700.  -3.  39. 801.
   7.   1.]","[  1.  10.   2.   2.   1.   1.   0.   1.  11.   6. 700.  -3.  39. 801.
   7.   1.]"
46,unsat,15,31,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
47,sat,16,31,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.288,0.42,0,0.0,0.42,1,1,0.8894,1.0,-,"[ 0.00e+00  1.00e+01  2.00e+00  6.00e+00  0.00e+00  1.00e+00  1.00e+00
  1.00e+00  6.00e+00  6.00e+00  1.40e+03 -3.00e+00  5.00e+01  4.03e+02
  5.00e+00  2.00e+00]","[ 1.00e+00  1.00e+01  2.00e+00  6.00e+00  0.00e+00  1.00e+00  1.00e+00
  1.00e+00  6.00e+00  6.00e+00  1.40e+03 -3.00e+00  5.00e+01  4.03e+02
  5.00e+00  2.00e+00]"
48,unsat,16,32,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
49,sat,17,32,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.084,0.23,0,0.0,0.23,1,1,0.8894,1.0,-,"[ 0.000e+00  1.000e+01  2.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  0.000e+00  7.000e+00  6.000e+00  1.402e+03 -3.000e+00
  4.800e+01  2.650e+02  6.000e+00  0.000e+00]","[ 1.000e+00  1.000e+01  2.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  0.000e+00  7.000e+00  6.000e+00  1.402e+03 -3.000e+00
  4.800e+01  2.650e+02  6.000e+00  0.000e+00]"
50,unsat,17,33,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
51,unsat,17,34,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.013,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
52,unsat,17,35,0,0,0,0.4737,0.0,0.4737,0,0.4737,5.614,5.81,0,0.0,5.81,0,0,0.8894,1.0,-,,
53,sat,18,35,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.549,0.66,0,0.0,0.66,1,1,0.8894,1.0,-,"[  0.   7.   0.   4.   0.   0.   0.   0.   4.   5. 699.   0.  44. 702.
   0.   2.]","[  1.   7.   0.   4.   0.   0.   0.   0.   4.   5. 699.   0.  44. 702.
   0.   2.]"
54,unsat,18,36,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.017,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
55,unsat,18,37,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
56,unsat,18,38,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
57,sat,19,38,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.303,0.42,0,0.0,0.42,1,1,0.8894,1.0,-,"[  0.   8.   2.   0.   1.   1.   0.   0.   0.   6. 293.  -2.   4. 600.
   4.   2.]","[  1.   8.   2.   0.   1.   1.   0.   0.   0.   6. 293.  -2.   4. 600.
   4.   2.]"
58,sat,20,38,0,0,0,0.4737,0.0,0.4737,0,0.4737,3.889,4.11,0,0.0,4.11,1,1,0.8894,1.0,-,"[  0.   0.   2.   1.   1.   1.   1.   1.  11.   1. 198.  -2.   2. 160.
   7.   0.]","[  1.   0.   2.   1.   1.   1.   1.   1.  11.   1. 198.  -2.   2. 160.
   7.   0.]"
59,sat,21,38,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.29,0.4,0,0.0,0.4,1,1,0.8894,1.0,-,"[  0.   8.   0.   6.   0.   0.   0.   0.   0.   0. 421.   0.  24. 389.
   3.   0.]","[  1.   8.   0.   6.   0.   0.   0.   0.   0.   0. 421.   0.  24. 389.
   3.   0.]"
60,unsat,21,39,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.016,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
61,unsat,21,40,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.13,0,0.0,0.13,0,0,0.8894,1.0,-,,
62,sat,22,40,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.031,0.16,0,0.0,0.16,1,1,0.8894,1.0,-,"[0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.000e+00 1.100e+01 0.000e+00 1.341e+03 1.000e+00 5.000e+01 7.990e+02
 7.000e+00 0.000e+00]","[1.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.000e+00 1.100e+01 0.000e+00 1.341e+03 1.000e+00 5.000e+01 7.990e+02
 7.000e+00 0.000e+00]"
63,unsat,22,41,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
64,unsat,22,42,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.011,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
65,unsat,22,43,0,0,0,0.8421,0.0,0.8421,0,0.8421,0.01,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
66,sat,23,43,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.167,0.31,0,0.0,0.31,1,1,0.8894,1.0,-,"[ 1.00e+00  1.00e+00  2.00e+00  4.00e+00  0.00e+00  1.00e+00  0.00e+00
  0.00e+00  9.00e+00  2.00e+00  1.40e+03 -1.00e+00  4.90e+01  1.29e+02
  6.00e+00  2.00e+00]","[ 0.00e+00  1.00e+00  2.00e+00  4.00e+00  0.00e+00  1.00e+00  0.00e+00
  0.00e+00  9.00e+00  2.00e+00  1.40e+03 -1.00e+00  4.90e+01  1.29e+02
  6.00e+00  2.00e+00]"
67,unsat,23,44,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
68,unsat,23,45,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.13,0,0.0,0.13,0,0,0.8894,1.0,-,,
69,unsat,23,46,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.011,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
70,unsat,23,47,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.013,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
71,unsat,23,48,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
72,sat,24,48,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.063,0.18,0,0.0,0.18,1,1,0.8894,1.0,-,"[0.0e+00 0.0e+00 2.0e+00 5.0e+00 0.0e+00 0.0e+00 1.0e+00 1.0e+00 1.1e+01
 2.0e+00 1.1e+03 1.0e+00 3.1e+01 9.0e+02 2.0e+00 0.0e+00]","[1.0e+00 0.0e+00 2.0e+00 5.0e+00 0.0e+00 0.0e+00 1.0e+00 1.0e+00 1.1e+01
 2.0e+00 1.1e+03 1.0e+00 3.1e+01 9.0e+02 2.0e+00 0.0e+00]"
73,unsat,24,49,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.014,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
74,sat,25,49,0,0,0,0.6316,0.0,0.6316,0,0.6316,1.161,1.3,0,0.0,1.3,1,1,0.8894,1.0,-,"[  0.   0.   0.   0.   1.   0.   0.   1.   0.   0. 300.   1.   1. 139.
   0.   0.]","[  1.   0.   0.   0.   1.   0.   0.   1.   0.   0. 300.   1.   1. 139.
   0.   0.]"
75,sat,26,49,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.522,0.63,0,0.0,0.63,1,1,0.8894,1.0,-,"[  1.   0.   0.   0.   1.   0.   0.   0.   0.   0. 272.  -2.  21. 397.
   1.   0.]","[  0.   0.   0.   0.   1.   0.   0.   0.   0.   0. 272.  -2.  21. 397.
   1.   0.]"
76,unsat,26,50,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
77,unsat,26,51,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
78,unsat,26,52,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
79,unsat,26,53,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
80,unsat,26,54,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.019,0.17,0,0.0,0.17,0,0,0.8894,1.0,-,,
81,sat,27,54,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.081,0.23,0,0.0,0.23,1,1,0.8894,1.0,-,"[ 0.000e+00  1.000e+01  1.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  9.000e+00  6.000e+00  1.451e+03 -3.000e+00
  5.000e+01  3.040e+02  5.000e+00  2.000e+00]","[ 1.000e+00  1.000e+01  1.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  9.000e+00  6.000e+00  1.451e+03 -3.000e+00
  5.000e+01  3.040e+02  5.000e+00  2.000e+00]"
82,unsat,27,55,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.019,0.17,0,0.0,0.17,0,0,0.8894,1.0,-,,
83,unsat,27,56,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
84,unsat,27,57,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
85,sat,28,57,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.607,0.71,0,0.0,0.71,1,1,0.8894,1.0,-,"[   0.    4.    2.    6.    0.    0.    0.    0.   11.    0. 1400.   -3.
   45.   33.    7.    2.]","[ 1.0e+00  4.0e+00  2.0e+00  6.0e+00  0.0e+00  0.0e+00  0.0e+00  0.0e+00
  1.1e+01  0.0e+00  1.4e+03 -3.0e+00  4.5e+01  3.3e+01  7.0e+00  2.0e+00]"
86,sat,29,57,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.304,0.44,0,0.0,0.44,1,1,0.8894,1.0,-,"[0.000e+00 6.000e+00 2.000e+00 4.000e+00 0.000e+00 1.000e+00 0.000e+00
 0.000e+00 1.000e+00 6.000e+00 1.019e+03 1.000e+00 3.700e+01 9.000e+02
 4.000e+00 2.000e+00]","[1.000e+00 6.000e+00 2.000e+00 4.000e+00 0.000e+00 1.000e+00 0.000e+00
 0.000e+00 1.000e+00 6.000e+00 1.019e+03 1.000e+00 3.700e+01 9.000e+02
 4.000e+00 2.000e+00]"
87,sat,30,57,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.093,0.23,0,0.0,0.23,1,1,0.8894,1.0,-,"[0.00e+00 0.00e+00 0.00e+00 1.00e+00 1.00e+00 0.00e+00 1.00e+00 1.00e+00
 1.10e+01 0.00e+00 1.40e+03 1.00e+00 5.00e+01 7.93e+02 7.00e+00 0.00e+00]","[1.00e+00 0.00e+00 0.00e+00 1.00e+00 1.00e+00 0.00e+00 1.00e+00 1.00e+00
 1.10e+01 0.00e+00 1.40e+03 1.00e+00 5.00e+01 7.93e+02 7.00e+00 0.00e+00]"
88,sat,31,57,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.17,0.31,0,0.0,0.31,1,1,0.8894,1.0,-,"[0.00e+00 1.00e+01 2.00e+00 2.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
 1.10e+01 6.00e+00 1.10e+03 1.00e+00 5.00e+01 6.15e+02 7.00e+00 2.00e+00]","[1.00e+00 1.00e+01 2.00e+00 2.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
 1.10e+01 6.00e+00 1.10e+03 1.00e+00 5.00e+01 6.15e+02 7.00e+00 2.00e+00]"
89,sat,32,57,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.207,0.31,0,0.0,0.31,1,1,0.8894,1.0,-,"[  0.   7.   0.   0.   0.   0.   0.   0.   2.   3. 611.   0.  34. 473.
   1.   0.]","[  1.   7.   0.   0.   0.   0.   0.   0.   2.   3. 611.   0.  34. 473.
   1.   0.]"
90,unsat,32,58,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
91,unsat,32,59,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
92,unsat,32,60,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.016,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
93,unsat,32,61,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
94,unsat,32,62,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.017,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
95,sat,33,62,0,0,0,0.6842,0.0,0.6842,0,0.6842,0.938,1.05,0,0.0,1.05,1,1,0.8894,1.0,-,"[  0.  10.   2.   1.   1.   1.   0.   1.   0.   0. 545.  -3.   9. 987.
   5.   2.]","[  1.  10.   2.   1.   1.   1.   0.   1.   0.   0. 545.  -3.   9. 987.
   5.   2.]"
96,unsat,33,63,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
97,unsat,33,64,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.013,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
98,unsat,33,65,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.017,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
99,unsat,33,66,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
100,sat,34,66,0,0,0,0.7368,0.0,0.7368,0,0.7368,0.277,0.42,0,0.0,0.42,1,1,0.8894,1.0,-,"[ 0.000e+00  6.000e+00  0.000e+00  6.000e+00  0.000e+00  1.000e+00
  0.000e+00  0.000e+00  1.100e+01  0.000e+00  1.301e+03 -3.000e+00
  4.600e+01  1.710e+02  2.000e+00  2.000e+00]","[ 1.000e+00  6.000e+00  0.000e+00  6.000e+00  0.000e+00  1.000e+00
  0.000e+00  0.000e+00  1.100e+01  0.000e+00  1.301e+03 -3.000e+00
  4.600e+01  1.710e+02  2.000e+00  2.000e+00]"
101,sat,35,66,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.067,0.21,0,0.0,0.21,1,1,0.8894,1.0,-,"[0.00e+00 1.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 1.00e+00
 1.00e+01 0.00e+00 1.50e+03 1.00e+00 4.50e+01 9.99e+02 7.00e+00 0.00e+00]","[1.00e+00 1.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 1.00e+00
 1.00e+01 0.00e+00 1.50e+03 1.00e+00 4.50e+01 9.99e+02 7.00e+00 0.00e+00]"
102,sat,36,66,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.083,0.2,0,0.0,0.2,1,1,0.8894,1.0,-,"[0.000e+00 2.000e+00 2.000e+00 5.000e+00 0.000e+00 1.000e+00 0.000e+00
 0.000e+00 3.000e+00 6.000e+00 1.213e+03 1.000e+00 5.000e+01 4.240e+02
 6.000e+00 2.000e+00]","[1.000e+00 2.000e+00 2.000e+00 5.000e+00 0.000e+00 1.000e+00 0.000e+00
 0.000e+00 3.000e+00 6.000e+00 1.213e+03 1.000e+00 5.000e+01 4.240e+02
 6.000e+00 2.000e+00]"
103,unsat,36,67,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.016,0.11,0,0.0,0.11,0,0,0.8894,1.0,-,,
104,unsat,36,68,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.011,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
105,unsat,36,69,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.012,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
106,unsat,36,70,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.019,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
107,unsat,36,71,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.014,0.12,0,0.0,0.12,0,0,0.8894,1.0,-,,
